"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",5.7063121796,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",5.6488604546,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",5.4694433212,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",5.4190745354,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",5.5110111237,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",5.5314478874,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",5.452044487,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",5.4427680969,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",5.3933119774,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",5.2941665649,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2006",4.9711761475,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2007",5.0482048988,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2008",5.1897640228,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2009",5.4646697044,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2010",4.944890976,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2011",4.6511993408,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2012",4.423511982,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2013",4.803337574,
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2014",4.7898073196,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2015",4.6833639145,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3197288513,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.1948571205,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9564938545,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",3.946659565,
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2020",3.8531980515,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2007",2.7011146545,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.7096796036,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.7124147415,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1995",11.517629623,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1996",11.262426376,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1997",10.8334589,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1998",10.597599983,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","1999",9.9830198288,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2000",9.1931610107,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2001",8.3431100845,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2002",7.6989159584,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2003",7.7300944328,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2004",7.5725212097,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2005",7.8491325378,"B"
