State,Prevalence,95% Confidence Interval
Alabama,30.7,"(29.9, 31.5)"
Alaska,20.8,"(19.7, 22)"
Arizona,23.3,"(22.7, 24)"
Arkansas,31.1,"(30.1, 32.1)"
California,21.2,"(20.5, 21.8)"
Colorado,17.7,"(17.2, 18.2)"
Connecticut,22.6,"(21.9, 23.2)"
Delaware,27.2,"(26.3, 28.1)"
District of Columbia,20.2,"(19.3, 21.2)"
Florida,27.3,"(26.5, 28.1)"
Georgia,27.4,"(26.6, 28.1)"
Hawaii,21.7,"(21, 22.3)"
Idaho,22.2,"(21.3, 23)"
Illinois,24.9,"(24.1, 25.7)"
Indiana,28.5,"(27.9, 29.1)"
Iowa,24.5,"(23.9, 25)"
Kansas,24.8,"(24.3, 25.3)"
Kentucky,32.5,"(31.7, 33.4)"
Louisiana,30.8,"(30, 31.7)"
Maine,24.8,"(24.1, 25.4)"
Maryland,23.2,"(22.6, 23.7)"
Massachusetts,23.3,"(22.6, 24)"
Michigan,24.3,"(23.7, 24.8)"
Minnesota,21,"(20.6, 21.4)"
Mississippi,33.2,"(32.3, 34)"
Missouri,27.8,"(27.1, 28.6)"
Montana,21.5,"(20.9, 22.2)"
Nebraska,24.3,"(23.8, 24.9)"
Nevada,26,"(24.8, 27.2)"
New Hampshire,21.5,"(20.8, 22.3)"
New Jersey,Insufficient data**,Insufficient data**
New Mexico,23.7,"(23, 24.5)"
New York,25.9,"(25.4, 26.4)"
North Carolina,24.6,"(23.8, 25.3)"
North Dakota,25.6,"(24.8, 26.4)"
Ohio,26.9,"(26.3, 27.5)"
Oklahoma,30.5,"(29.7, 31.2)"
Oregon,20.7,"(20.1, 21.4)"
Pennsylvania,24.7,"(24, 25.5)"
Rhode Island,25.3,"(24.5, 26.2)"
South Carolina,27.6,"(26.9, 28.3)"
South Dakota,25.3,"(24.3, 26.3)"
Tennessee,28.9,"(28.1, 29.8)"
Texas,27.5,"(26.6, 28.3)"
Utah,18.2,"(17.7, 18.7)"
Vermont,19.6,"(18.9, 20.3)"
Virginia,23.4,"(22.9, 24)"
Washington,18.4,"(18, 18.9)"
West Virginia,30.1,"(29.4, 30.9)"
Wisconsin,21.9,"(21.1, 22.7)"
Wyoming,23.6,"(22.8, 24.4)"
Guam,29.5,"(27.9, 31.2)"
Puerto Rico,49.4,"(48.5, 50.4)"
