State,Prevalence,95% Confidence Interval
Alabama,29.6,"(28.7, 30.5)"
Alaska,18.4,"(17.2, 19.7)"
Arizona,22.2,"(21.4, 22.9)"
Arkansas,30.8,"(29.8, 31.9)"
California,16.3,"(15.5, 17.1)"
Colorado,14.7,"(14.2, 15.2)"
Connecticut,19.6,"(18.9, 20.3)"
Delaware,24.9,"(23.9, 26)"
District of Columbia,8.5,"(7.4, 9.6)"
Florida,24.4,"(23.7, 25.2)"
Georgia,26.1,"(25.3, 27)"
Hawaii,14.6,"(13.5, 15.6)"
Idaho,20.9,"(20.1, 21.8)"
Illinois,22,"(21.1, 22.9)"
Indiana,27.8,"(27.2, 28.5)"
Iowa,23.5,"(23, 24.1)"
Kansas,24.1,"(23.6, 24.6)"
Kentucky,32.5,"(31.6, 33.4)"
Louisiana,29.1,"(28.1, 30.1)"
Maine,24.4,"(23.8, 25.1)"
Maryland,20.8,"(20.2, 21.4)"
Massachusetts,20.8,"(20, 21.6)"
Michigan,22.7,"(22.1, 23.4)"
Minnesota,19.6,"(19.2, 20)"
Mississippi,31.6,"(30.5, 32.6)"
Missouri,27.3,"(26.5, 28.1)"
Montana,21.1,"(20.3, 21.8)"
Nebraska,22.4,"(21.9, 22.9)"
Nevada,22.5,"(21.2, 23.8)"
New Hampshire,20.7,"(19.9, 21.4)"
New Jersey,Insufficient data**,Insufficient data**
New Mexico,20.3,"(19.4, 21.3)"
New York,21.5,"(20.9, 22.1)"
North Carolina,22.9,"(22, 23.9)"
North Dakota,24.6,"(23.8, 25.5)"
Ohio,26.1,"(25.5, 26.7)"
Oklahoma,30.1,"(29.2, 31)"
Oregon,19.1,"(18.4, 19.8)"
Pennsylvania,23.6,"(22.8, 24.4)"
Rhode Island,22.6,"(21.7, 23.5)"
South Carolina,25.3,"(24.5, 26.1)"
South Dakota,25.1,"(24, 26.2)"
Tennessee,28.2,"(27.3, 29.1)"
Texas,23.7,"(22.7, 24.8)"
Utah,16.4,"(15.9, 16.8)"
Vermont,19.4,"(18.7, 20.1)"
Virginia,21.8,"(21.2, 22.5)"
Washington,16.6,"(16.2, 17.1)"
West Virginia,30.4,"(29.6, 31.2)"
Wisconsin,20.6,"(19.8, 21.4)"
Wyoming,23.3,"(22.4, 24.1)"
Guam,14.3,"(11, 18.4)"
Puerto Rico,27.9,"(18.6, 39.6)"
