State,Prevalence,95% Confidence Interval
Alabama,34.8,"(33.2, 36.4)"
Alaska,19.5,"(13.4, 27.6)"
Arizona,26.8,"(23, 31)"
Arkansas,34,"(31.1, 36.9)"
California,24.6,"(21.7, 27.7)"
Colorado,22,"(19, 25.3)"
Connecticut,30.3,"(27.9, 32.7)"
Delaware,32.3,"(29.7, 35)"
District of Columbia,30.9,"(29.4, 32.4)"
Florida,28.6,"(26.3, 30.9)"
Georgia,29.2,"(27.7, 30.7)"
Hawaii,19.4,"(13.9, 26.3)"
Idaho,Insufficient data**,Insufficient data**
Illinois,30.8,"(28.5, 33.3)"
Indiana,31.4,"(29.2, 33.7)"
Iowa,30.6,"(26.6, 34.9)"
Kansas,29,"(26.5, 31.6)"
Kentucky,36.8,"(33, 40.8)"
Louisiana,34.8,"(32.9, 36.7)"
Maine,37.5,"(25.9, 50.8)"
Maryland,25.5,"(24.4, 26.6)"
Massachusetts,27.2,"(24.1, 30.5)"
Michigan,32.7,"(30.8, 34.8)"
Minnesota,26.7,"(24.5, 29)"
Mississippi,36.6,"(35.1, 38.1)"
Missouri,33.6,"(31.1, 36.2)"
Montana,22.6,"(12.8, 36.7)"
Nebraska,30.8,"(27.4, 34.5)"
Nevada,25.8,"(21.9, 30.2)"
New Hampshire,38.7,"(28.1, 50.6)"
New Jersey,Insufficient data**,Insufficient data**
New Mexico,22.1,"(15.8, 29.9)"
New York,31,"(29.5, 32.7)"
North Carolina,26.8,"(25, 28.6)"
North Dakota,35,"(27.9, 42.9)"
Ohio,32.6,"(30.5, 34.7)"
Oklahoma,33.5,"(30.3, 36.9)"
Oregon,20.2,"(15.1, 26.4)"
Pennsylvania,28.5,"(26.2, 30.9)"
Rhode Island,28.4,"(24.5, 32.7)"
South Carolina,33,"(31.4, 34.7)"
South Dakota,24.8,"(14.6, 38.9)"
Tennessee,32.3,"(29.7, 35)"
Texas,29.4,"(26.8, 32.2)"
Utah,25.3,"(19.4, 32.3)"
Vermont,30,"(20.5, 41.4)"
Virginia,29.1,"(27.5, 30.6)"
Washington,21.4,"(18.5, 24.6)"
West Virginia,25.3,"(20.8, 30.5)"
Wisconsin,35.3,"(30.3, 40.8)"
Wyoming,19.2,"(11.2, 31)"
Guam,Insufficient data**,Insufficient data**
Puerto Rico,Insufficient data**,Insufficient data**
