State,Prevalence,95% Confidence Interval
Alabama,20.3,"(13.8, 28.8)"
Alaska,30.3,"(22.7, 39.1)"
Arizona,16.5,"(12.8, 21.1)"
Arkansas,Insufficient data**,Insufficient data**
California,17.7,"(15.8, 19.7)"
Colorado,18.1,"(14.6, 22.3)"
Connecticut,20.3,"(16.6, 24.6)"
Delaware,21,"(15.5, 27.7)"
District of Columbia,18.2,"(13.3, 24.3)"
Florida,18.5,"(14.1, 23.9)"
Georgia,17.6,"(13.9, 22.1)"
Hawaii,26.2,"(25, 27.4)"
Idaho,28.5,"(19.5, 39.6)"
Illinois,22.7,"(18.9, 26.9)"
Indiana,19.2,"(14.5, 24.9)"
Iowa,23.9,"(19.1, 29.4)"
Kansas,22,"(18.2, 26.4)"
Kentucky,25.3,"(16.5, 36.8)"
Louisiana,23.8,"(15.7, 34.5)"
Maine,28.9,"(16.7, 45.1)"
Maryland,19.8,"(17.2, 22.7)"
Massachusetts,17.6,"(14.8, 20.8)"
Michigan,20.2,"(16.3, 24.6)"
Minnesota,21.6,"(19, 24.4)"
Mississippi,27.5,"(16.9, 41.4)"
Missouri,17.5,"(12.6, 23.8)"
Montana,30.8,"(20.5, 43.4)"
Nebraska,25.5,"(20.2, 31.7)"
Nevada,26.8,"(21, 33.5)"
New Hampshire,26.2,"(19.5, 34.3)"
New Jersey,Insufficient data**,Insufficient data**
New Mexico,20,"(12.7, 30.1)"
New York,27.5,"(25.2, 30)"
North Carolina,17.2,"(12, 24.1)"
North Dakota,26.2,"(17.5, 37.3)"
Ohio,20.3,"(15.7, 25.7)"
Oklahoma,21.1,"(15.2, 28.6)"
Oregon,17.4,"(13.2, 22.6)"
Pennsylvania,22.7,"(18.3, 27.9)"
Rhode Island,23.5,"(17.3, 31)"
South Carolina,19.7,"(13.2, 28.2)"
South Dakota,19.7,"(11.2, 32.4)"
Tennessee,27.2,"(18.6, 37.9)"
Texas,20.1,"(16, 25)"
Utah,18,"(14.1, 22.7)"
Vermont,21.8,"(12.1, 36)"
Virginia,14.6,"(11.7, 18)"
Washington,19.1,"(17, 21.4)"
West Virginia,Insufficient data**,Insufficient data**
Wisconsin,16.5,"(11.4, 23.3)"
Wyoming,28.5,"(16.6, 44.5)"
Guam,32.7,"(29.8, 35.8)"
Puerto Rico,Insufficient data**,Insufficient data**
