State,Prevalence,95% Confidence Interval
Alabama,30.1,"(23.8, 37.4)"
Alaska,30,"(26.5, 33.7)"
Arizona,27.9,"(24.7, 31.4)"
Arkansas,33,"(24.3, 43.1)"
California,24.7,"(16.6, 35.1)"
Colorado,21,"(16.1, 26.9)"
Connecticut,30.6,"(21.1, 42.2)"
Delaware,29.5,"(20.7, 40.2)"
DC,24.8,"(14.4, 39.2)"
Florida,27,"(20.1, 35.3)"
Georgia,37.3,"(27, 48.9)"
Hawaii,Insufficient data**,Insufficient data**
Idaho,28.6,"(21.3, 37.2)"
Illinois,26.8,"(17.9, 38.1)"
Indiana,34.7,"(27.1, 43.1)"
Iowa,38,"(28.4, 48.6)"
Kansas,31.9,"(26.3, 38)"
Kentucky,34.1,"(24.6, 45)"
Louisiana,33.9,"(25.7, 43.1)"
Maine,29.2,"(21.8, 37.8)"
Maryland,29.9,"(23.1, 37.8)"
Massachusetts,38.7,"(26.4, 52.7)"
Michigan,30.2,"(23.9, 37.4)"
Minnesota,30.9,"(26.9, 35.2)"
Mississippi,44.4,"(34.4, 54.9)"
Missouri,31.2,"(24.1, 39.4)"
Montana,27.9,"(24.9, 31)"
Nebraska,31.5,"(26, 37.5)"
Nevada,26.5,"(17, 38.9)"
NewHampshire,30.7,"(20.5, 43.3)"
NewJersey,Insufficient data**,Insufficient data**
NewMexico,24.9,"(22.3, 27.7)"
NewYork,30.3,"(23, 38.7)"
NorthCarolina,31.3,"(25.7, 37.5)"
NorthDakota,38.5,"(33.7, 43.5)"
Ohio,36.8,"(25.2, 50.1)"
Oklahoma,29.5,"(26.8, 32.3)"
Oregon,30.5,"(23.1, 39.2)"
Pennsylvania,32.3,"(21.1, 45.9)"
RhodeIsland,24.3,"(16.7, 34)"
SouthCarolina,30.5,"(22.3, 40.2)"
SouthDakota,28,"(24.3, 32.2)"
Tennessee,24.6,"(17.3, 33.6)"
Texas,25.4,"(16.7, 36.6)"
Utah,23,"(18.1, 28.8)"
Vermont,31.5,"(24, 40.1)"
Virginia,28.1,"(20.5, 37.1)"
Washington,26.1,"(21.9, 30.8)"
WestVirginia,28.1,"(19.7, 38.4)"
Wisconsin,33.5,"(23.3, 45.6)"
Wyoming,33.6,"(25.6, 42.8)"
Guam,Insufficient data**,Insufficient data**
PuertoRico,Insufficient data**,Insufficient data**
