GAS DAY STARTED ON,GAS IN STORAGE(TWh),% FULL,TREND,INJECTION(GWh/d),WITHDRAWAL(GWh/d),WORKING GAS VOLUME(TWh),INJECTION CAPACITY(GWh/d),WITHDRAWAL CAPACITY(GWh/d),STATUS
2022-03-31,1.1867,"13,17","-0,28",0,25.44,9.0098,86.19,186.8,E-Value
2022-03-30,1.1867,"13,17","-0,28",0,25.44,9.0098,86.19,186.8,E-Value
2022-03-29,1.1884,"13,19","-0,26",0,23.72,9.0098,86.19,186.8,Confirmed
2022-03-28,1.2121,"13,45","-0,28",0,25.44,9.0098,86.19,186.8,Confirmed
2022-03-27,1.2376,"13,74","-0,41",0,37.14,9.0098,86.19,186.8,Confirmed
2022-03-26,1.2747,"14,15","-0,15",0,13.39,9.0098,82.59,179.01,Confirmed
2022-03-25,1.2881,"14,30","0,03",2.55,0,9.0098,86.19,186.8,Confirmed
2022-03-24,1.2855,"14,27","-0,08",0,7.54,9.0098,86.19,186.8,Confirmed
2022-03-23,1.2931,"14,35","-0,28",0,25.36,9.0098,86.19,186.8,Confirmed
2022-03-22,1.3184,"14,63","-0,20",0,17.96,9.0098,86.19,186.8,Confirmed
2022-03-21,1.3364,"14,83","-0,09",0,7.75,9.0098,86.19,186.8,Confirmed
2022-03-20,1.3441,"14,92","-0,21",0,19.24,9.0098,86.19,186.8,Confirmed
2022-03-19,1.3634,"15,13","-0,02",0,2.25,9.0098,86.19,186.8,Confirmed
2022-03-18,1.3656,"15,16","-0,11",0,9.49,9.0098,86.19,186.8,Confirmed
2022-03-17,1.3751,"15,26","-0,20",0,18.45,9.0098,86.19,186.8,Confirmed
2022-03-16,1.3936,"15,47","-0,13",0,11.7,9.0098,86.19,186.8,Confirmed
2022-03-15,1.4053,"15,60","-0,25",0,22.14,9.0098,86.19,186.8,Confirmed
2022-03-14,1.4274,"15,86","-0,24",0,21.23,9.0013,88.14,169.5,Confirmed
2022-03-13,1.4486,"16,09","-0,10",0,9.33,9.0013,88.14,169.5,Confirmed
2022-03-12,1.458,"16,20","-0,08",0,7.65,9.0013,88.14,169.5,Confirmed
2022-03-11,1.4656,"16,28","-0,29",0,25.84,9.0013,88.14,169.5,Confirmed
2022-03-10,1.4915,"16,57","-0,28",0,25.28,9.0013,88.14,169.5,Confirmed
2022-03-09,1.5167,"16,85","-0,24",0,21.3,9.0013,88.14,169.5,Confirmed
2022-03-08,1.538,"17,09","-0,24",0,21.6,9.0013,88.14,169.5,Confirmed
2022-03-07,1.5596,"17,33","-0,24",0,21.42,9.0013,88.14,169.5,Confirmed
2022-03-06,1.5811,"17,56","-0,25",0,22.94,9.0013,88.14,169.5,Confirmed
2022-03-05,1.604,"17,82","-0,27",0,24.01,9.0013,88.14,169.5,Confirmed
2022-03-04,1.628,"18,09","-0,32",0,28.67,9.0013,88.14,169.5,Confirmed
2022-03-03,1.6567,"18,40","-0,26",0,23.01,9.0013,88.14,169.5,Confirmed
2022-03-02,1.6797,"18,66","-0,13",0,11.98,9.0013,88.14,169.5,Confirmed
2022-03-01,1.6917,"18,79","-0,18",0,16.01,9.0013,88.14,169.5,Confirmed
2022-02-28,1.7077,"18,97","-0,21",0,19.25,9.0013,88.14,169.5,Confirmed
2022-02-27,1.7269,"19,19","-0,21",0,19.08,9.0013,88.14,169.5,Confirmed
2022-02-26,1.746,"19,40","-0,28",0,25.26,9.0013,88.14,169.5,Confirmed
2022-02-25,1.7713,"19,68","-0,23",0,21.03,9.0013,88.14,169.5,Confirmed
2022-02-24,1.7923,"19,91","-0,26",0,23.59,9.0013,88.14,169.5,Confirmed
2022-02-23,1.8159,"20,17","-0,15",0,13.82,9.0013,88.14,169.5,Confirmed
2022-02-22,1.8297,"20,33","-0,62",0,55.64,9.0013,88.14,169.5,Confirmed
2022-02-21,1.8853,"20,95","-0,63",0,56.55,9.0013,88.14,169.5,Confirmed
2022-02-20,1.9419,"21,57","-0,56",0,50.71,9.0013,88.14,169.5,Confirmed
2022-02-19,1.9926,"22,14","-0,62",0,56.13,9.0013,88.14,169.5,Confirmed
2022-02-18,2.0487,"22,76","-0,61",0,55.33,9.0013,88.14,169.5,Confirmed
2022-02-17,2.1041,"23,38","-0,62",0,55.39,9.0013,88.14,169.5,Confirmed
2022-02-16,2.1595,"23,99","-0,81",0,72.75,9.0013,88.14,169.5,Confirmed
2022-02-15,2.2322,"24,80","-0,85",0,76.5,9.0013,88.14,169.5,Confirmed
2022-02-14,2.3087,"25,65","-0,62",0,55.65,9.0013,88.14,169.5,Confirmed
2022-02-13,2.4376,"27,08","-0,77",0,69.08,9.0013,88.14,169.5,E-Value
2022-02-12,2.4291,"26,99","-0,86",0,77.62,9.0013,88.14,169.5,Confirmed
