"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","KG_CAP","A","1980",685.476,
"AUS","WASTEMUN","TOT","KG_CAP","A","1992",689.569,
"AUS","WASTEMUN","TOT","KG_CAP","A","2000",695.05,
"AUS","WASTEMUN","TOT","KG_CAP","A","2007",616.058,
"AUS","WASTEMUN","TOT","KG_CAP","A","2008",613.928,
"AUS","WASTEMUN","TOT","KG_CAP","A","2009",613.458,
"AUS","WASTEMUN","TOT","KG_CAP","A","2010",612.083,
"AUS","WASTEMUN","TOT","KG_CAP","A","2011",597.768,
"AUS","WASTEMUN","TOT","KG_CAP","A","2012",592.576,
"AUS","WASTEMUN","TOT","KG_CAP","A","2013",588.894,
"AUS","WASTEMUN","TOT","KG_CAP","A","2014",584.384,
"AUS","WASTEMUN","TOT","KG_CAP","A","2015",583.484,
"AUS","WASTEMUN","TOT","KG_CAP","A","2016",536.597,
"AUS","WASTEMUN","TOT","KG_CAP","A","2017",512.733,
"AUS","WASTEMUN","TOT","KG_CAP","A","2018",507.728,
"AUS","WASTEMUN","TOT","KG_CAP","A","2019",498.815,
"AUT","WASTEMUN","TOT","KG_CAP","A","1989",409.806,
"AUT","WASTEMUN","TOT","KG_CAP","A","1990",414.814,
"AUT","WASTEMUN","TOT","KG_CAP","A","1991",402.177,
"AUT","WASTEMUN","TOT","KG_CAP","A","1992",405.571,
"AUT","WASTEMUN","TOT","KG_CAP","A","1993",423.335,
"AUT","WASTEMUN","TOT","KG_CAP","A","1994",427.823,
"AUT","WASTEMUN","TOT","KG_CAP","A","1995",435.038,
"AUT","WASTEMUN","TOT","KG_CAP","A","1996",512.606,"B"
"AUT","WASTEMUN","TOT","KG_CAP","A","1997",527.956,
"AUT","WASTEMUN","TOT","KG_CAP","A","1998",527.294,
"AUT","WASTEMUN","TOT","KG_CAP","A","1999",558.432,
"AUT","WASTEMUN","TOT","KG_CAP","A","2000",575.764,
"AUT","WASTEMUN","TOT","KG_CAP","A","2001",572.258,
"AUT","WASTEMUN","TOT","KG_CAP","A","2002",604.101,
"AUT","WASTEMUN","TOT","KG_CAP","A","2003",603.24,
"AUT","WASTEMUN","TOT","KG_CAP","A","2004",570.38,
"AUT","WASTEMUN","TOT","KG_CAP","A","2005",573.285,
"AUT","WASTEMUN","TOT","KG_CAP","A","2006",595.329,
"AUT","WASTEMUN","TOT","KG_CAP","A","2007",595.533,
"AUT","WASTEMUN","TOT","KG_CAP","A","2008",599.039,
"AUT","WASTEMUN","TOT","KG_CAP","A","2009",587.746,
"AUT","WASTEMUN","TOT","KG_CAP","A","2010",558.957,
"AUT","WASTEMUN","TOT","KG_CAP","A","2011",568.628,
"AUT","WASTEMUN","TOT","KG_CAP","A","2012",574.355,
