DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2001,657.1,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2002,687.3,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2003,703.7,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2004,695.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2005,739.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2006,792.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2007,849.3,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2008,910.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2009,876.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2010,866.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2011,832.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2012,877.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2013,888.1,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2014,937.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2015,1002.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2016,990.1,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2017,1014.5,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2018,1077.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2019,1089.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,AT,2020,1105.7,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2001,898.3,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2002,976.4,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2003,1049.2,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2004,1040.2,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2005,1181.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2006,1265.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2007,1268.5,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2008,1324.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2009,1458.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2010,1502.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2011,1539.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2012,1784.3,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2013,1635.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2014,1479.1,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2015,1551.3,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2016,1656.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2017,1679.0,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2018,1921.7,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2019,1910.8,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BE,2020,1699.5,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2001,12.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2002,14.4,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2003,19.5,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2004,21.4,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2005,17.9,
ESTAT:GOV_10A_EXP(1.0),28/02/22 11:00:00,A,MIO_EUR,S13,GF0801,TE,BG,2006,27.0,
