Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","660","Anguilla","2001","2001","23014","Food price inflation","7001","January","%","4.893517","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2002","2002","23014","Food price inflation","7001","January","%","1.894317","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7001","January","%","-1.174168","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7001","January","%","1.089109","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7001","January","%","4.031995","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7001","January","%","3.448925","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2007","2007","23014","Food price inflation","7001","January","%","7.480888","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2008","2008","23014","Food price inflation","7001","January","%","7.685577","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2009","2009","23014","Food price inflation","7001","January","%","13.818048","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2010","2010","23014","Food price inflation","7001","January","%","1.853771","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2011","2011","23014","Food price inflation","7001","January","%","3.0236","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2012","2012","23014","Food price inflation","7001","January","%","5.144687","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2013","2013","23014","Food price inflation","7001","January","%","1.114343","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2014","2014","23014","Food price inflation","7001","January","%","3.20523","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2015","2015","23014","Food price inflation","7001","January","%","0.461358","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2016","2016","23014","Food price inflation","7001","January","%","-1.410998","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2017","2017","23014","Food price inflation","7001","January","%","0.850411","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2018","2018","23014","Food price inflation","7001","January","%","1.246779","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2019","2019","23014","Food price inflation","7001","January","%","2.729028","Fc","Calculated data",""
