Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
27,Estimates,Burundi,,108,Country/Area,910,1.97,2.051,2.174,2.295,2.336,2.497,2.547,2.636,2.524,2.462,2.522,2.495,2.451,2.309
28,Estimates,Comoros,,174,Country/Area,910,1.73,1.987,2.165,2.295,2.404,2.494,2.625,2.609,2.459,2.301,2.149,2.058,1.98,1.85
29,Estimates,Djibouti,,262,Country/Area,910,1.868,1.967,2.106,2.246,2.446,2.441,2.449,2.396,2.303,1.904,1.673,1.44,1.298,1.234
30,Estimates,Eritrea,,232,Country/Area,910,1.765,1.887,1.997,2.047,2.12,2.193,2.281,2.301,2.302,2.166,2.086,2.077,1.932,1.865
31,Estimates,Ethiopia,,231,Country/Area,910,1.831,1.883,2.035,2.114,2.244,2.3,2.342,2.444,2.447,2.497,2.38,2.245,2.099,1.912
32,Estimates,Kenya,,404,Country/Area,910,2.373,2.596,2.877,3.026,3.111,3.075,2.991,2.723,2.312,2.138,2.007,1.984,1.814,1.604
33,Estimates,Madagascar,,450,Country/Area,910,2.016,2.136,2.255,2.366,2.447,2.445,2.325,2.247,2.295,2.347,2.227,2.094,1.956,1.868
34,Estimates,Malawi,,454,Country/Area,910,1.656,1.729,1.832,1.952,2.141,2.32,2.434,2.407,2.261,2.238,2.219,2.295,2.118,1.912
35,Estimates,Mauritius,1,480,Country/Area,910,2.185,2.399,2.648,2,1.514,1.426,1.076,1.089,1.067,0.967,0.924,0.813,0.712,0.666
36,Estimates,Mayotte,2,175,Country/Area,910,2.809,3.137,3.324,3.466,3.573,3.653,3.449,3.194,2.515,2.45,2.327,2.238,2,1.819
37,Estimates,Mozambique,,508,Country/Area,910,1.623,1.763,1.938,1.998,2.028,2.045,2.016,2.041,2.064,2.104,2.209,2.196,2.177,2.137
